# time  ID  size  fromHost  toHost  TTL  isResponse
700.0000 M8 58 c8 c23 300 N 
700.0000 I8 10 c8 c31 300 N 
700.0000 M6 15 c6 c21 300 N 
700.0000 I6 10 c6 c35 300 N 
700.0000 M4 67 c4 c34 300 N 
700.0000 I4 10 c4 c12 300 N 
700.0000 M5 41 c5 c6 300 N 
700.0000 I5 10 c5 c28 300 N 
700.0000 M3 74 c3 c17 300 N 
700.0000 I3 10 c3 c20 300 N 
700.0000 M2 19 c2 c30 300 N 
700.0000 I2 10 c2 c5 300 N 
700.0000 M12 45 c12 c0 300 N 
700.0000 I12 10 c12 c13 300 N 
700.0000 M11 48 c11 c28 300 N 
700.0000 I11 10 c11 c18 300 N 
700.0000 M13 23 c13 c7 300 N 
700.0000 I13 10 c13 c11 300 N 
700.0000 M9 87 c9 c22 300 N 
700.0000 I9 10 c9 c31 300 N 
700.0000 M1 37 c1 c9 300 N 
700.0000 I1 10 c1 c31 300 N 
700.0000 M14 88 c14 c1 300 N 
700.0000 I14 10 c14 c10 300 N 
700.0000 M0 48 c0 c4 300 N 
700.0000 I0 10 c0 c7 300 N 
700.0000 M7 59 c7 c9 300 N 
700.0000 I7 10 c7 c28 300 N 
700.0000 M10 70 c10 c35 300 N 
700.0000 I10 10 c10 c26 300 N 
1400.1000 M8 60 c8 c11 300 N 
1400.1000 I8 10 c8 c15 300 N 
1400.1000 M6 79 c6 c13 300 N 
1400.1000 I6 10 c6 c2 300 N 
1400.1000 M9 78 c9 c34 300 N 
1400.1000 I9 10 c9 c25 300 N 
1400.1000 M10 18 c10 c6 300 N 
1400.1000 I10 10 c10 c34 300 N 
1400.1000 M13 95 c13 c10 300 N 
1400.1000 I13 10 c13 c16 300 N 
1400.1000 M4 39 c4 c8 300 N 
1400.1000 I4 10 c4 c1 300 N 
1400.1000 M11 77 c11 c11 300 N 
1400.1000 I11 10 c11 c31 300 N 
1400.1000 M7 30 c7 c30 300 N 
1400.1000 I7 10 c7 c6 300 N 
1400.1000 M2 14 c2 c29 300 N 
1400.1000 I2 10 c2 c29 300 N 
1400.1000 M3 96 c3 c12 300 N 
1400.1000 I3 10 c3 c0 300 N 
1400.1000 M1 88 c1 c24 300 N 
1400.1000 I1 10 c1 c11 300 N 
1400.1000 M14 95 c14 c8 300 N 
1400.1000 I14 10 c14 c10 300 N 
1400.1000 M0 95 c0 c14 300 N 
1400.1000 I0 10 c0 c35 300 N 
1400.1000 M5 20 c5 c13 300 N 
1400.1000 I5 10 c5 c23 300 N 
1400.1000 M12 72 c12 c1 300 N 
1400.1000 I12 10 c12 c35 300 N 
2100.2000 M11 49 c11 c24 300 N 
2100.2000 I11 10 c11 c4 300 N 
2100.2000 M13 78 c13 c31 300 N 
2100.2000 I13 10 c13 c37 300 N 
2100.2000 M6 14 c6 c27 300 N 
2100.2000 I6 10 c6 c21 300 N 
2100.2000 M9 27 c9 c24 300 N 
2100.2000 I9 10 c9 c23 300 N 
2100.2000 M12 17 c12 c18 300 N 
2100.2000 I12 10 c12 c30 300 N 
2100.2000 M3 18 c3 c27 300 N 
2100.2000 I3 10 c3 c33 300 N 
2100.2000 M5 80 c5 c23 300 N 
2100.2000 I5 10 c5 c8 300 N 
2100.2000 M8 87 c8 c3 300 N 
2100.2000 I8 10 c8 c18 300 N 
2100.2000 M4 61 c4 c35 300 N 
2100.2000 I4 10 c4 c12 300 N 
2100.2000 M2 90 c2 c2 300 N 
2100.2000 I2 10 c2 c11 300 N 
2100.2000 M14 27 c14 c20 300 N 
2100.2000 I14 10 c14 c38 300 N 
2100.2000 M7 72 c7 c20 300 N 
2100.2000 I7 10 c7 c33 300 N 
2100.2000 M0 35 c0 c2 300 N 
2100.2000 I0 10 c0 c33 300 N 
2100.2000 M1 49 c1 c37 300 N 
2100.2000 I1 10 c1 c13 300 N 
2100.2000 M10 86 c10 c8 300 N 
2100.2000 I10 10 c10 c35 300 N 
2800.3000 M5 34 c5 c13 300 N 
2800.3000 I5 10 c5 c33 300 N 
2800.3000 M1 68 c1 c21 300 N 
2800.3000 I1 10 c1 c0 300 N 
2800.3000 M2 92 c2 c6 300 N 
2800.3000 I2 10 c2 c1 300 N 
2800.3000 M13 47 c13 c0 300 N 
2800.3000 I13 10 c13 c16 300 N 
2800.3000 M14 96 c14 c5 300 N 
2800.3000 I14 10 c14 c3 300 N 
2800.3000 M10 12 c10 c33 300 N 
2800.3000 I10 10 c10 c6 300 N 
2800.3000 M9 40 c9 c25 300 N 
2800.3000 I9 10 c9 c28 300 N 
2800.3000 M3 60 c3 c7 300 N 
2800.3000 I3 10 c3 c25 300 N 
2800.3000 M0 54 c0 c38 300 N 
2800.3000 I0 10 c0 c38 300 N 
2800.3000 M6 69 c6 c14 300 N 
2800.3000 I6 10 c6 c7 300 N 
2800.3000 M7 59 c7 c24 300 N 
2800.3000 I7 10 c7 c38 300 N 
2800.3000 M11 22 c11 c18 300 N 
2800.3000 I11 10 c11 c33 300 N 
2800.3000 M4 61 c4 c17 300 N 
2800.3000 I4 10 c4 c4 300 N 
2800.3000 M8 58 c8 c24 300 N 
2800.3000 I8 10 c8 c22 300 N 
2800.3000 M12 41 c12 c25 300 N 
2800.3000 I12 10 c12 c18 300 N 
3500.4000 M13 44 c13 c10 300 N 
3500.4000 I13 10 c13 c17 300 N 
3500.4000 M1 22 c1 c10 300 N 
3500.4000 I1 10 c1 c17 300 N 
3500.4000 M4 61 c4 c18 300 N 
3500.4000 I4 10 c4 c26 300 N 
3500.4000 M0 98 c0 c35 300 N 
3500.4000 I0 10 c0 c23 300 N 
3500.4000 M9 92 c9 c37 300 N 
3500.4000 I9 10 c9 c7 300 N 
3500.4000 M10 10 c10 c28 300 N 
3500.4000 I10 10 c10 c4 300 N 
3500.4000 M3 73 c3 c34 300 N 
3500.4000 I3 10 c3 c5 300 N 
3500.4000 M11 33 c11 c11 300 N 
3500.4000 I11 10 c11 c32 300 N 
3500.4000 M6 61 c6 c22 300 N 
3500.4000 I6 10 c6 c25 300 N 
3500.4000 M12 89 c12 c7 300 N 
3500.4000 I12 10 c12 c21 300 N 
3500.4000 M7 90 c7 c8 300 N 
3500.4000 I7 10 c7 c12 300 N 
3500.4000 M14 91 c14 c14 300 N 
3500.4000 I14 10 c14 c12 300 N 
3500.4000 M5 47 c5 c16 300 N 
3500.4000 I5 10 c5 c24 300 N 
3500.4000 M2 42 c2 c26 300 N 
3500.4000 I2 10 c2 c5 300 N 
3500.4000 M8 75 c8 c38 300 N 
3500.4000 I8 10 c8 c10 300 N 
4200.5000 M13 99 c13 c17 300 N 
4200.5000 I13 10 c13 c18 300 N 
4200.5000 M9 67 c9 c32 300 N 
4200.5000 I9 10 c9 c36 300 N 
4200.5000 M12 16 c12 c3 300 N 
4200.5000 I12 10 c12 c16 300 N 
4200.5000 M10 67 c10 c30 300 N 
4200.5000 I10 10 c10 c19 300 N 
4200.5000 M4 90 c4 c23 300 N 
4200.5000 I4 10 c4 c32 300 N 
4200.5000 M11 13 c11 c38 300 N 
4200.5000 I11 10 c11 c12 300 N 
4200.5000 M3 10 c3 c38 300 N 
4200.5000 I3 10 c3 c15 300 N 
4200.5000 M6 84 c6 c22 300 N 
4200.5000 I6 10 c6 c22 300 N 
4200.5000 M5 37 c5 c13 300 N 
4200.5000 I5 10 c5 c38 300 N 
4200.5000 M7 44 c7 c31 300 N 
4200.5000 I7 10 c7 c11 300 N 
4200.5000 M8 71 c8 c17 300 N 
4200.5000 I8 10 c8 c26 300 N 
4200.5000 M14 28 c14 c29 300 N 
4200.5000 I14 10 c14 c26 300 N 
4200.5000 M0 88 c0 c37 300 N 
4200.5000 I0 10 c0 c13 300 N 
4200.5000 M2 76 c2 c0 300 N 
4200.5000 I2 10 c2 c9 300 N 
4200.5000 M1 96 c1 c33 300 N 
4200.5000 I1 10 c1 c3 300 N 
4900.5000 M13 85 c13 c11 300 N 
4900.5000 I13 10 c13 c30 300 N 
4900.5000 M14 52 c14 c11 300 N 
4900.5000 I14 10 c14 c4 300 N 
4900.5000 M2 15 c2 c15 300 N 
4900.5000 I2 10 c2 c31 300 N 
4900.5000 M11 86 c11 c19 300 N 
4900.5000 I11 10 c11 c24 300 N 
4900.5000 M4 42 c4 c2 300 N 
4900.5000 I4 10 c4 c8 300 N 
4900.5000 M10 66 c10 c15 300 N 
4900.5000 I10 10 c10 c14 300 N 
4900.5000 M3 78 c3 c6 300 N 
4900.5000 I3 10 c3 c34 300 N 
4900.5000 M1 69 c1 c19 300 N 
4900.5000 I1 10 c1 c6 300 N 
4900.5000 M8 43 c8 c15 300 N 
4900.5000 I8 10 c8 c26 300 N 
4900.5000 M7 29 c7 c7 300 N 
4900.5000 I7 10 c7 c30 300 N 
4900.5000 M6 92 c6 c12 300 N 
4900.5000 I6 10 c6 c9 300 N 
4900.5000 M0 95 c0 c2 300 N 
