# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
821.0000 I8 10 1 121.0000 c8 c31 297 N c8->c31
1033.1000 M2 19 1 333.1000 c2 c9 294 Y c2->c9
1354.6000 I1 10 1 654.6000 c1 c31 289 N c1->c31
1357.6000 I0 10 3 657.6000 c0 c7 289 N c0->c14->c23->c7
1383.0000 I11 10 1 683.0000 c11 c18 288 N c11->c18
1395.6000 I6 10 6 695.6000 c6 c35 288 N c6->c19->c24->c10->c31->c7->c35
1458.6000 I3 10 3 758.6000 c3 c20 287 N c3->c22->c5->c20
1459.0000 I2 10 3 759.0000 c2 c5 287 N c2->c13->c20->c5
1589.0000 I13 10 5 889.0000 c13 c11 285 N c13->c20->c17->c1->c21->c11
1621.7000 I14 10 5 921.7000 c14 c10 284 N c14->c1->c11->c24->c9->c10
1820.0000 I9 10 5 1120.0000 c9 c31 281 N c9->c26->c3->c21->c11->c31
1861.9000 I10 10 9 1161.9000 c10 c26 280 N c10->c8->c31->c38->c37->c23->c14->c4->c34->c26
1882.9000 I5 10 7 1182.9000 c5 c28 280 N c5->c19->c24->c10->c31->c7->c0->c28
1997.6000 M5 41 5 1297.6000 c5 c8 278 Y c5->c38->c17->c1->c21->c8
2084.4000 I9 10 2 684.3000 c9 c25 288 N c9->c24->c25
2398.1000 M14 95 2 998.0000 c14 c11 283 Y c14->c39->c11
2552.2000 M10 18 3 1152.1000 c10 c14 280 Y c10->c29->c16->c14
