# time  ID  size  fromHost  toHost  TTL  isResponse
32.0000 M1 618834 c32 c9 300 N 
58.0000 M2 977273 c16 p52 300 N 
84.0000 M3 968122 c21 c9 300 N 
112.0000 M4 523257 p40 p52 300 N 
144.0000 M5 874671 p58 c38 300 N 
170.0000 M6 661032 p60 c28 300 N 
203.0000 M7 612010 p77 c16 300 N 
233.0000 M8 913877 c25 c35 300 N 
265.0000 M9 587686 p58 c25 300 N 
291.0000 M10 863541 p61 p62 300 N 
320.0000 M11 562047 c13 c7 300 N 
345.0000 M12 545086 p41 c30 300 N 
379.0000 M13 693107 p63 p73 300 N 
405.0000 M14 720934 c11 c34 300 N 
431.0000 M15 991397 p57 c7 300 N 
464.0000 M16 875016 c8 c1 300 N 
498.0000 M17 790517 p56 p66 300 N 
523.0000 M18 640222 p64 c15 300 N 
557.0000 M19 580040 c39 p77 300 N 
582.0000 M20 773543 c31 c19 300 N 
609.0000 M21 519301 p52 p50 300 N 
640.0000 M22 854050 p66 c1 300 N 
669.0000 M23 555510 c18 c36 300 N 
698.0000 M24 559729 p57 c9 300 N 
730.0000 M25 982211 p69 c9 300 N 
757.0000 M26 546679 p66 c5 300 N 
785.0000 M27 707738 c14 c10 300 N 
818.0000 M28 627290 c4 c11 300 N 
852.0000 M29 888064 c0 p44 300 N 
881.0000 M30 896607 c16 p71 300 N 
915.0000 M31 653097 p59 p60 300 N 
942.0000 M32 921516 c21 p57 300 N 
971.0000 M33 936576 c35 p68 300 N 
996.0000 M34 726913 p68 c16 300 N 
1000.0000 G20 1 c20 p61 300 N 
1000.0000 G15 1 c15 c6 300 N 
1000.0000 G35 1 c35 c11 300 N 
1000.0000 G0 1 c0 p56 300 N 
1000.0000 G10 1 c10 c39 300 N 
1000.0000 G25 1 c25 c16 300 N 
1000.0000 G5 1 c5 c30 300 N 
1000.0000 G30 1 c30 p71 300 N 
1022.0000 M35 529000 c20 p77 300 N 
1051.0000 M36 992517 p60 c16 300 N 
1078.0000 M37 817114 p44 c32 300 N 
1109.0000 M38 542038 p53 c12 300 N 
1136.0000 M39 822125 p76 p50 300 N 
1162.0000 M40 889457 p66 c28 300 N 
1193.0000 M41 996688 p56 p73 300 N 
