# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
70.2000 I8 5 1 70.1000 c8 p63 298 N c8->p63
926.9000 I60 5 3 926.8000 p60 p63 284 N p60->c39->c15->p63
927.0000 I62 5 8 926.9000 p62 p63 284 N p62->c4->c19->p71->c2->p72->c39->c15->p63
927.1000 I64 5 2 927.0000 p64 p63 284 N p64->c15->p63
927.2000 I20 5 3 927.1000 c20 p63 284 N c20->p51->c15->p63
927.3000 I42 5 5 927.2000 p42 p63 284 N p42->c2->p72->c39->c15->p63
927.4000 I0 5 3 927.3000 c0 p63 284 N c0->p64->c15->p63
927.5000 I66 5 3 927.4000 p66 p63 284 N p66->c3->c15->p63
927.6000 I22 5 5 927.5000 c22 p63 284 N c22->p45->c35->c3->c15->p63
927.7000 I2 5 4 927.6000 c2 p63 284 N c2->c1->p51->c15->p63
927.8000 I68 5 4 927.7000 p68 p63 284 N p68->c10->p64->c15->p63
927.9000 I24 5 3 927.8000 c24 p63 284 N c24->c3->c15->p63
928.0000 I4 5 7 927.9000 c4 p63 284 N c4->c19->p71->c2->p72->c39->c15->p63
928.1000 I48 5 5 928.0000 p48 p63 284 N p48->c38->c1->p51->c15->p63
928.2000 I26 5 8 928.1000 c26 p63 284 N c26->c4->c19->p71->c2->p72->c39->c15->p63
928.3000 I28 5 3 928.2000 c28 p63 284 N c28->c3->c15->p63
928.4000 I70 5 7 928.3000 p70 p63 284 N p70->c9->p71->c2->p72->c39->c15->p63
928.5000 I72 5 3 928.4000 p72 p63 284 N p72->c3->c15->p63
928.6000 I30 5 6 928.5000 c30 p63 284 N c30->p48->c38->c1->p51->c15->p63
928.7000 I10 5 3 928.6000 c10 p63 284 N c10->p64->c15->p63
928.8000 I54 5 4 928.7000 p54 p63 284 N p54->c1->p51->c15->p63
928.9000 I32 5 5 928.8000 c32 p63 284 N c32->c33->c14->c39->c15->p63
929.0000 I76 5 7 928.9000 p76 p63 284 N p76->c9->p71->c2->p72->c39->c15->p63
929.1000 I12 5 5 929.0000 c12 p63 284 N c12->c39->c1->p51->c15->p63
935.3000 I78 5 3 935.2000 p78 p63 284 N p78->c14->p60->p63
935.4000 I14 5 2 935.3000 c14 p63 284 N c14->p60->p63
935.5000 I36 5 6 935.4000 c36 p63 284 N c36->c37->c16->c14->c25->p60->p63
935.6000 I16 5 4 935.5000 c16 p63 284 N c16->c14->c25->p60->p63
935.7000 I38 5 5 935.6000 c38 p63 284 N c38->c1->p51->c15->p60->p63
935.8000 I18 5 2 935.7000 c18 p63 284 N c18->p60->p63
1052.5000 I46 5 4 1052.4000 p46 p63 282 N p46->c33->c34->c3->p63
1052.6000 I6 5 6 1052.5000 c6 p63 282 N c6->c38->c20->c17->c34->c3->p63
1052.7000 I34 5 2 1052.6000 c34 p63 282 N c34->c3->p63
1180.6000 I44 5 4 1180.5000 p44 p63 280 N p44->c24->c26->c37->p63
1180.7000 I56 5 4 1180.6000 p56 p63 280 N p56->p55->c26->c37->p63
1180.8000 I58 5 8 1180.7000 p58 p63 280 N p58->p77->c36->c6->p69->c31->c19->c37->p63
1412.0000 I50 5 4 1411.9000 p50 p63 276 N p50->c21->c18->c30->p63
1412.1000 I74 5 3 1412.0000 p74 p63 276 N p74->c18->c30->p63
1927.5000 M10 863541 3 1636.5000 p61 p62 272 N p61->p58->c7->p62
2927.7000 M18 640222 7 2404.7000 p64 c15 259 N p64->c22->c31->p47->p56->c23->c30->c15
3320.1000 M34 726913 2 2324.1000 p68 c16 261 N p68->c31->c16
3574.2000 M14 720934 6 3169.2000 c11 c34 247 N c11->p53->c27->p56->c14->c2->c34
3748.9000 M4 523257 3 3636.9000 p40 p52 239 N p40->p61->p72->p52
4365.1000 M16 875016 6 3901.1000 c8 c1 234 N c8->c32->p75->c17->c35->c16->c1
